id;asset_id;assetype;quantity;description;req_status;apply_date;assgin_date;status;employee_id;company_id;last_modified;last_modified_by
1;73824;directional;82956;Missouri;Small extend Clothing;2023-04-06T09:17:33;2023-04-05T18:31:50;metrics Borders;58057;79156;2023-04-05T23:45:35;Home Market
2;1423;California;18099;Cotton Kenyan Sharable;CSS Executive Hat;2023-04-05T18:18:20;2023-04-05T12:26:51;Mongolia;24585;3449;2023-04-06T00:37:17;connect invoice hack
3;42767;Italy Home;57745;Practical Cambridgeshire index;EXE innovative impactful;2023-04-05T16:43:50;2023-04-06T04:36:01;Branding Metrics Gourde;88488;32533;2023-04-06T08:37:03;Senior Colorado
4;59495;e-markets deposit protocol;34171;Stravenue South Stream;Wooden Re-engineered input;2023-04-06T04:12:02;2023-04-05T18:23:45;connecting Chair client-server;71096;18099;2023-04-06T00:50:55;Bike
5;89617;virtual Associate Engineer;85375;Specialist Locks Texas;Fork Brand;2023-04-05T23:05:27;2023-04-06T06:05:20;JSON blue Minnesota;55314;52743;2023-04-05T12:58:50;knowledge olive infrastructures
6;3510;Wyoming;76909;Buckinghamshire Arkansas;Gorgeous;2023-04-06T07:48:14;2023-04-05T19:11:10;maximized Fantastic;91232;48185;2023-04-06T10:03:31;array
7;30955;Card;81207;navigate Granite;Berkshire;2023-04-05T15:16:36;2023-04-05T17:55:56;local Oval;85613;17795;2023-04-06T07:48:34;solutions Quality
8;81974;Account Industrial hack;35899;Village action-items Berkshire;Integration navigating matrix;2023-04-06T02:21:10;2023-04-06T05:21:32;synergistic;25701;47524;2023-04-06T00:19:58;SDD mission-critical
9;31986;Electronics grey payment;9421;panel;cyan Wisconsin circuit;2023-04-06T09:56:43;2023-04-06T05:31:01;Square;79568;18489;2023-04-05T14:55:40;Jersey
10;84804;extend Generic Handcrafted;32556;system;Garden;2023-04-05T23:33:09;2023-04-06T10:15:03;Shirt Fundamental;26826;3360;2023-04-05T14:16:59;Interface
