id;holiday_name;holiday_date;day;year;status;company_id;last_modified;last_modified_by
1;scale Function-based optimize;2023-04-05T13:35:37;haptic;2023-04-06T02:42:11;PCI monitor;37396;2023-04-05T20:10:15;Wooden
2;orange;2023-04-06T00:02:23;navigate recontextualize middleware;2023-04-05T17:57:49;blue focus;16255;2023-04-05T12:43:50;Borders Personal Rubber
3;Samoa Tactics Account;2023-04-06T03:00:57;definition grey;2023-04-06T02:26:18;Future Flat;37090;2023-04-05T12:03:35;Tasty Lead Parkway
4;Practical Plastic;2023-04-05T19:58:32;hacking gold JSON;2023-04-05T16:55:58;synthesizing Gorgeous connecting;13781;2023-04-05T16:42:05;Towels Program driver
5;bandwidth;2023-04-06T03:27:13;Towels withdrawal;2023-04-05T20:34:30;enterprise;21726;2023-04-05T19:22:25;McDonald
6;Bedfordshire hard;2023-04-05T13:04:29;value-added Plastic;2023-04-06T00:30:57;Assistant Roads Infrastructure;29869;2023-04-06T00:03:59;calculating instruction Avon
7;supply-chains Manor Metal;2023-04-06T07:54:36;Central Florida;2023-04-05T23:31:39;Virtual;11273;2023-04-05T18:43:44;Unbranded
8;Automated Mexico Car;2023-04-06T11:19:17;bypassing Liaison;2023-04-06T03:39:53;Ball;71257;2023-04-05T17:12:07;Gorgeous firewall Generic
9;navigating seize Frozen;2023-04-05T16:54:30;exploit;2023-04-05T17:07:17;transmit Lakes;5687;2023-04-05T16:38:22;New XML Steel
10;bypassing Squares Cotton;2023-04-05T16:24:27;Rwanda Car;2023-04-06T01:12:39;payment driver;52219;2023-04-05T23:44:03;Gourde Triple-buffered
