id;branch_name;description;branchcode;branch_type;web_site;branch_id;region_id;status;company_id;last_modified;last_modified_by
1;protocol Pound;Guinea-Bissau;sensor black;virtual Associate Tools;model;6248;16309;Strategist compressing;93543;2023-04-06T09:09:23;Keyboard system maximized
2;parse software Djibouti;Guarani;salmon;content;Officer green Account;95111;33042;indigo;61697;2023-04-06T04:10:40;Highway Customer empower
3;Rubber Corporate;innovate;mesh;utilisation;blockchains User;75098;43403;France Towels;3169;2023-04-05T13:10:05;Account Ameliorated application
4;Account e-business bluetooth;Krona Summit;SCSI orchestration;Cambridgeshire utilize;functionalities Vietnam driver;24880;4706;SCSI strategic Buckinghamshire;87936;2023-04-06T00:04:19;programming Representative
5;Bedfordshire;Group;neural Djibouti;program optical;iterate pixel withdrawal;46870;412;user-facing Bedfordshire neural;12148;2023-04-05T20:59:07;and
6;efficient reboot Data;withdrawal;Oklahoma Vision-oriented Baby;target Cheese SCSI;flexibility;40396;15269;Manager Singapore Computers;81783;2023-04-06T02:27:59;leading-edge navigate
7;open-source;Program;fuchsia Malawi;withdrawal e-tailers installation;Kwanza monitor red;89818;156;Rustic;95995;2023-04-06T08:13:12;Cambridgeshire quantify Springs
8;Hryvnia Republic;Soft Washington Ranch;Designer Engineer;Courts;B2B Azerbaijan;22337;40955;overriding pixel;11576;2023-04-06T02:30:14;incentivize Account eco-centric
9;synthesize;Passage Practical Vision-oriented;array;parse Somoni methodologies;firewall Computer;3450;76357;Liaison Intuitive Peru;84458;2023-04-06T04:41:28;copying transmitting
10;empowering matrix Refined;Multi-lateral Hawaii Usability;Buckinghamshire calculating calculate;invoice virtual;Crest Handcrafted Rustic;80746;10822;approach Toys;27416;2023-04-05T19:46:00;Self-enabling intranet Bedfordshire
