id;asset_name;assetype;asset_id;purchase_from;purchase_to;manufacturer;model;product_number;supplier;warranty_in_months;jhi_condition;value;description;asset_status;asset_user_id;status;submitted_amt;refund_amt;fine_amt;company_id;last_modified;last_modified_by
1;Metal;application Pass;SCSI;California;Automated Phased;Delaware;Paradigm Soft hack;Ergonomic Regional;Small Forward Shirt;99958;payment Research;241;Shoes Market;Soap Granite;4291;invoice;57448;1438;49998;61402;2023-04-06T07:11:20;up
2;Massachusetts;Berkshire hack;Money scalable;driver Ouguiya;Krone Dobra frame;synergies AI;override wireless Car;Pennsylvania withdrawal;hack;94800;New Nigeria Gorgeous;20139;Cotton;Handmade;86676;Handmade;52672;94358;86320;86955;2023-04-05T14:47:29;copying
3;transmitting Monaco Via;invoice Soft;Handcrafted seamless interactive;overriding;functionalities Movies;array invoice;Electronics;Vermont;regional Research;12226;hack Central;69302;Unbranded e-business Korea;payment;53426;e-markets Account;20728;42164;58693;79413;2023-04-05T16:42:25;hub Borders
4;Shirt monitor;Underpass;Tokelau;Cloned 1080p sky;algorithm embrace Borders;e-services deposit;Loop Shores;Cambridgeshire;Franc override Kentucky;10016;Toys;34637;optical;Industrial mindshare Right-sized;65400;Lodge Bedfordshire Turnpike;95673;13320;85060;63261;2023-04-05T23:33:57;parsing
5;neural programming Hampshire;Web;copying Universal Soft;Belize encompassing technologies;infrastructures;bypass;yellow;turquoise;Sleek;6253;Dynamic Mall Response;89145;Cambridgeshire Borders;TCP Lek;67299;empower optical Berkshire;19734;79375;12112;89503;2023-04-05T23:13:55;methodology bandwidth multi-byte
6;Central Prairie Markets;portals;transmitter Fantastic;Outdoors;object-oriented;Human;leverage purple Licensed;Factors extensible;transmitting;26325;virtual Practical;28261;port Investment visionary;driver Shoes Configurable;33994;Buckinghamshire;75003;28800;25443;79316;2023-04-06T03:17:12;Tuna interface
7;haptic;magnetic;Hill;Liaison Kids;Ergonomic;Bedfordshire;azure GB;PCI Port Walks;Nebraska generating Intuitive;93397;red Unbranded redefine;96122;Branding drive;generating maximize;20068;connect;97194;49727;55985;30876;2023-04-06T05:01:41;Lead Creative Plastic
8;Texas;IB;deposit;B2C;Granite driver Sleek;fuchsia Infrastructure;Square;Home Progressive;Architect;93238;Checking Cheese;41027;Account viral;Shoes Metal Manat;51756;Frozen Coordinator analyzing;13337;76622;5013;28450;2023-04-05T13:55:21;monitor Intelligent Kwacha
9;payment analyzer Automotive;Fantastic;Bike index;Frozen;Card project;Borders Granite;e-markets Cambridgeshire;card SAS invoice;supply-chains;25545;maroon Assistant Executive;39294;PCI Villages orange;Account Refined;56499;microchip;4756;53567;46150;24228;2023-04-05T14:19:52;bypassing deliver
10;backing SDR;navigating;Specialist Hong;supply-chains Freeway calculating;Maine;optimize;state Loan 24/7;Point;Data;55373;Streamlined;4930;SMTP Computer Reduced;application withdrawal redefine;12930;didactic USB Automotive;24475;60892;94923;54533;2023-04-06T01:51:38;Outdoors Rubber Oregon
