id;promotion_for;promoted_from;promoted_to;promotied_date;branch_id;department_id;status;employee_id;company_id;last_modified;last_modified_by
1;seize Grocery;transmitting leverage Bacon;Grocery hack;2023-04-05T15:19:16;56571;85660;Pataca;39074;9751;2023-04-05T12:42:05;Home
2;Soft;process;GB Pennsylvania Steel;2023-04-05T13:33:27;4067;91894;Chief Credit;95599;39649;2023-04-06T02:38:06;card high-level
3;Iraq Refined;Incredible reboot;Fundamental;2023-04-05T23:21:52;95532;48974;withdrawal;29364;13209;2023-04-05T18:39:50;synergies Supervisor bluetooth
4;Director SSL;Specialist Branding Refined;Cotton Berkshire Account;2023-04-06T09:50:49;52812;64179;proactive;79121;80252;2023-04-05T20:09:22;Ergonomic New
5;intranet Plastic;Facilitator;Account Texas;2023-04-05T23:03:05;71544;21088;payment haptic;47843;51945;2023-04-05T17:50:48;Roads Marketing
6;Technician;Avon Mobility parsing;Beauty transmit;2023-04-05T12:33:10;36863;99711;Lead Granite;45413;99797;2023-04-06T03:54:30;sensor
7;Horizontal Steel Car;Account Garden multi-byte;application;2023-04-06T03:21:32;62284;83554;SMS Squares Assistant;1898;96737;2023-04-06T06:30:15;deposit middleware Designer
8;Rupee;Forks bypassing;Mouse Identity;2023-04-06T03:30:03;89370;98997;programming;91497;45420;2023-04-06T03:13:44;Handmade Michigan Islands
9;Tactics;Principal;Computers overriding disintermediate;2023-04-06T05:28:29;42110;67166;auxiliary;94287;24757;2023-04-06T01:28:41;foreground
10;Future;scalable;Soft;2023-04-05T15:23:52;83338;56329;Alaska copying Illinois;3439;4372;2023-04-06T07:37:33;payment hard Sports
