id;day;hours;day_off;status;company_id;last_modified;last_modified_by
1;Bedfordshire copying e-business;Lats implementation transitional;false;Multi-layered Shoes Technician;99797;2023-04-05T14:15:40;up Avon Investor
2;deliver;user-centric;true;Account Fresh;80223;2023-04-05T20:46:01;Licensed Avon
3;e-markets Cambridgeshire Engineer;migration circuit Liaison;true;Account olive Kazakhstan;6566;2023-04-06T11:03:45;Organized
4;Checking;Analyst Frozen New;false;Soft Shoes;73586;2023-04-05T14:21:02;panel Peso Louisiana
5;card;payment Buckinghamshire;true;Cotton;14354;2023-04-06T08:38:59;state payment
6;connecting;grow;true;State) Strategist;18695;2023-04-06T09:13:16;maroon
7;Corporate Kuna;sexy Berkshire;true;back management plum;84014;2023-04-05T22:05:47;Programmable Virginia
8;Supervisor;compressing International Port;true;Borders orchid;4806;2023-04-05T12:55:58;pink Shoes
9;synthesize framework Tunnel;Creative Haiti;false;Borders ivory Plastic;61676;2023-04-05T12:29:33;Program Swiss
10;Multi-tiered;calculating Inlet ROI;true;Chief;76524;2023-04-06T04:42:37;Consultant Handcrafted e-commerce
