id;name;category;has_unit_cal;unit_amount;assign_type;status;employee_id;company_id;last_modified;last_modified_by
1;Rican;Kip Frozen;false;69888;Games sensor;deposit;68303;6752;2023-04-05T22:41:53;array SDD Concrete
2;withdrawal Court;white Supervisor;false;76317;Missouri;program feed Public-key;39714;85769;2023-04-06T09:26:59;attitude input
3;Handcrafted fuchsia;paradigms Administrator;true;35842;Data blockchains Practical;Grocery;55046;47149;2023-04-05T16:40:40;microchip
4;Regional synthesize Sausages;SMTP;true;54735;Coordinator;Mouse Rand;7242;6257;2023-04-06T00:50:42;harness
5;Ranch Borders incubate;Accounts firewall;true;7968;dedicated Concrete;cross-platform Concrete Trail;21017;80897;2023-04-06T01:24:21;ROI turn-key solution
6;toolset;PNG;false;75720;Bedfordshire;Programmable Soft Frozen;34382;98818;2023-04-06T01:27:26;Organic
7;throughput Diverse Chair;Malaysian Tunnel Ergonomic;false;92935;JSON Decentralized Computers;Mission Bike;33109;98171;2023-04-06T06:13:26;Health Sheqel port
8;Svalbard 5th wireless;compressing;false;89747;indigo payment Ergonomic;Fantastic Pound;68578;12141;2023-04-06T08:09:19;task-force Ball
9;program visualize Brand;payment granular;false;69011;Direct Automotive;Automotive transparent Uganda;62793;73097;2023-04-06T06:40:49;Grocery
10;XML;engine;true;35286;transparent ROI Granite;Vision-oriented Re-contextualized;13867;14760;2023-04-06T06:24:25;hard Customer
