id;device_info;latitude;longitude;date;day;hours;employee_id;status;has_checked_in;company_id;last_modified;last_modified_by
1;Creative cross-platform;66533;68313;2023-04-06T08:18:40;disintermediate directional;frictionless Guernsey;regional;Maryland;true;60081;2023-04-06T08:10:32;Personal withdrawal Ball
2;Greenland;36386;64977;2023-04-06T04:23:40;Small;JBOD Account Architect;Brand;paradigms;true;18457;2023-04-05T22:26:38;orchid Cambridgeshire Afghanistan
3;Dollar invoice;56136;15135;2023-04-06T02:27:35;Grocery implement structure;Shores;HDD Soft;Programmable Berkshire Sleek;false;71123;2023-04-05T11:50:56;Hills Practical sensor
4;Steel e-tailers Austria;87012;69325;2023-04-06T00:00:24;input software;Soft deposit Awesome;Lock matrix;plum;false;55997;2023-04-05T21:59:10;Granite
5;matrix;18868;69229;2023-04-06T10:32:49;interface Granite methodical;quantifying;CSS Keyboard Unbranded;Maryland;false;49412;2023-04-06T01:20:57;Plastic
6;multi-tasking toolset service-desk;38873;15174;2023-04-05T22:39:10;withdrawal;Automotive New Industrial;Florida global invoice;driver Run system-worthy;true;14582;2023-04-05T20:24:08;generate Frozen Hat
7;end-to-end driver;83469;84254;2023-04-06T02:45:47;architectures Credit;compress Creek Towels;Alabama productize;Bike Card Fresh;false;66169;2023-04-06T04:09:55;help-desk deposit
8;Norfolk fuchsia;53466;9595;2023-04-06T09:40:43;Inlet Usability;platforms Designer optical;Account Ball Stravenue;system;true;5310;2023-04-06T10:06:05;Implementation
9;Cambodia indexing;31013;82995;2023-04-06T04:24:12;hacking next HDD;THX;paradigms Dirham solid;Assistant;false;81143;2023-04-06T06:24:38;cross-platform structure reinvent
10;mission-critical;3466;91276;2023-04-05T18:05:49;Customer Kwacha Account;Salad;Chips Island;RAM Baby Adaptive;true;50536;2023-04-06T07:38:34;invoice deposit Card
