id;appraisal_review_id;employee_remark;appraiser_remark;reviewer_remark;self_scored;scored_by_appraiser;scored_by_reviewer;appraisal_status;submission_date;appraisal_date;review_date;status;company_id;last_modified;last_modified_by;target;target_achived
1;15913;Investor;Strategist;enterprise encompassing;Planner Place Granite;optimal Configuration model;Rubber;lime infrastructures sensor;2023-06-06T17:40:23;2023-06-06T11:50:13;2023-06-06T21:05:12;asynchronous Metical Tactics;31902;2023-06-06T18:52:57;strategize;52750;59318
2;43295;reboot Automotive;revolutionize;Beauty withdrawal;connecting;Borders plum optical;Fantastic;Soap capacitor;2023-06-06T20:30:45;2023-06-06T13:00:12;2023-06-07T00:46:03;interface infrastructures;72666;2023-06-06T13:03:27;connect;68045;5585
3;84924;Pennsylvania Palladium;technologies SQL;Dakota;matrix Movies matrices;Automotive Texas;Fish Developer;Rubber Fantastic Rubber;2023-06-06T23:34:08;2023-06-06T10:26:51;2023-06-06T20:00:14;Industrial Inlet;14539;2023-06-06T22:25:15;Tactics Small;85984;18180
4;81443;Shirt gold index;SMS disintermediate;transmit Electronics;card withdrawal interface;mindshare;protocol Industrial Caribbean;New Cambridgeshire;2023-06-06T20:08:25;2023-06-06T17:11:54;2023-06-06T07:23:45;systematic Graphical;41904;2023-06-06T05:11:26;Incredible Intelligent Steel;86567;3642
5;303;lime monitor Robust;Response Nevada Light;Bike Salvador;Cotton 1080p;Ergonomic online Keyboard;implement;neural protocol Dinar;2023-06-06T05:33:07;2023-06-07T03:39:49;2023-06-06T19:12:25;Bacon purple navigating;44344;2023-06-06T07:09:31;SDD Greece blockchains;21332;26951
6;7995;Practical Granite;fuchsia;Planner invoice SAS;Baby blue Plastic;Refined Central;Beauty Nebraska;circuit;2023-06-07T04:02:49;2023-06-07T00:45:30;2023-06-06T05:42:12;Practical;29688;2023-06-07T03:22:42;program quantifying compress;33657;55481
7;56099;enable Compatible;open-source;violet Louisiana initiative;HTTP Jersey bus;Plastic intermediate Enhanced;digital;Shoal methodology;2023-06-06T18:01:27;2023-06-06T23:25:43;2023-06-06T04:11:18;Loop;28232;2023-06-06T08:23:22;Cambridgeshire Wooden Grass-roots;12416;89509
8;65456;state Light Gloves;redundant Sleek bluetooth;copying;Loan Generic;portals maroon;hard;Fresh Dakota array;2023-06-07T03:52:10;2023-06-07T03:01:02;2023-06-06T04:48:33;Poland;3952;2023-06-06T19:40:47;e-markets Avon Berkshire;92973;1785
9;36536;Singapore Namibia Grocery;silver Kroon;Streets Games;enterprise Mountains;Georgia;maroon Consultant SSL;cross-platform 1080p;2023-06-07T01:22:42;2023-06-06T23:48:41;2023-06-06T10:01:56;neutral;41964;2023-06-06T16:39:54;lime array;17893;76942
10;80593;Steel;Savings;Ergonomic Sleek;Sweden interface Berkshire;driver HTTP New;Human Granite;Checking web-readiness;2023-06-07T00:48:45;2023-06-06T12:40:39;2023-06-06T05:38:22;Handmade experiences Comoros;70418;2023-06-06T05:23:39;cross-platform e-markets;82107;84603
